label,view,area,perimeter,solidity,eccentricity,bbox_ratio,contrast,correlation,energy,homogeneity
glioma,axial,17058.0,1057.850901170082,0.8435367421620018,0.6447635447120857,1.1666666666666667,390.9948801198803,0.8062458622809549,0.25806308246336906,0.46840408324302707
glioma,axial,16414.0,895.5899705197331,0.8901301518438178,0.7746900121611238,1.375,167.16298317823907,0.8264571723431043,0.23983384827233997,0.5382728251256973
glioma,axial,3036.0,415.68228688765845,0.8042384105960265,0.41427101184981563,0.8888888888888888,514.7772887323945,0.8997169423740552,0.2444163678513544,0.34398794822630807
glioma,axial,2624.0,485.8366158202092,0.6865515436944009,0.8362854295555464,0.6136363636363636,234.2754515599343,0.9461642060503582,0.38995324940391674,0.4832256457370047
glioma,axial,3560.0,522.872149726142,0.7507380851961197,0.7126247306793012,1.0972222222222223,454.33660287081335,0.8718246953903591,0.45188664587000466,0.537263991763113
glioma,axial,3718.0,406.99599538664313,0.8504117108874657,0.45234112649800523,1.0,854.0952660406886,0.5981733704218276,0.21987776299949208,0.47626729388243233
glioma,axial,9164.0,761.6427483683689,0.8367421475529584,0.5338904992608275,1.1428571428571428,732.08959740991,0.7210274086210201,0.3170507992782446,0.5688638470289691
glioma,axial,10312.0,702.1808075912434,0.8786639400136332,0.6120648943911897,1.3076923076923077,382.1786836093661,0.8532161465551533,0.2229565010640673,0.37955703254794737
glioma,axial,3848.0,427.5168106668145,0.8427507665352606,0.5501517886634195,1.1940298507462686,412.4933098591549,0.707707704483212,0.2559763799394146,0.44018511667339166
glioma,axial,5169.0,628.1391770309007,0.8018926466025442,0.759603243585896,1.3,575.7834712755599,0.8302541066360002,0.30086237985315933,0.41320959000100194
glioma,axial,593.0,222.17261889578035,0.6349036402569593,0.8492365028881375,1.3666666666666667,945.3212079615648,0.7312166598789328,0.4558622083193156,0.49487854416020044
glioma,axial,8952.0,909.5605332682102,0.7997855802733852,0.8041599588463872,1.5,321.77865497076016,0.8522729600923935,0.2979112117376563,0.4938990250169912
